temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,13,The Wheel,31 Jul. 2008,9.0,"Don and Betty Draper have an argument when it becomes apparent that he doesn't want to spend Thanksgiving with her family and she plans on going only with the children. He also learns some information about his brother Adam. Pete Campbell confirms that he has landed an account from his father-in-law for a new skin care product called Clearasil. He objects however when Don gives the account to Peggy Olson, whom he has just promoted to junior copywriter. Peggy proves her mettle in auditions for the weight loss device but later is feeling unwell and goes to the hospital ..."
2,1,For Those Who Think Young,3 Jan. 2009,7.8,"On Valentine's Day, the staff of the Sterling Cooper Advertising Agency is hustling and checking out the newest office equipment. Don and Duck clash over an account, and Betty hears from an old friend."
2,2,Flight 1,3 Aug. 2008,7.9,"A plane crash causes the firm to go after the account for the airline involved and drop the smaller airline they have an account with. Peggy pays a visit to her mother and sister, who are now guardians of a child."
2,3,The Benefactor,17 Jan. 2009,7.9,Trouble rises on the set of a commercial while Don plays hooky from the office.
2,4,Three Sundays,17 Aug. 2008,8.1,Freddy and Ken take a client out to lunch who stirs Roger Sterling's heart.
2,5,The New Girl,31 Jan. 2009,8.4,"Joan finds Don the perfect secretary, and Don finds himself in the middle of issues between TV comedian Jimmy and his wife, Bobbie."
2,6,Maidenform,7 Feb. 2009,8.0,"Don and Duck try to bury the hatchet, and Peggy attempts to join in on the execs' after-hours meetings. Also, Duck receives a family visit at the office."
2,7,The Gold Violin,7 Sep. 2008,8.5,"To show that he has ""arrived,"" Don buys a new car. Pete, Harry and Ken come up with a plan to attract new business, and Don's secretary makes a serious error, which could mean trouble for Joan. Cooper gets a new piece of office art that attracts the interest of the Sterling Cooper staff."
2,8,A Night to Remember,14 Sep. 2008,8.4,"Betty becomes suspicious that Don is having an affair after her conversation with Jimmy Barrett, Joan helps out in the television department, and Peggy helps the church with a dance flyer."
2,9,Six Month Leave,28 Feb. 2009,8.6,"Don checks in to a hotel after his separation from Betty. Back at the office, he is forced to get rid of Freddy against his will because of his drinking problem."
2,10,The Inheritance,5 Oct. 2008,8.0,Don and Betty try to keep up appearances as they go to Betty's parents after her dad has a stroke. Peter has a long-dreaded meeting with his mother before he and Kinsey leave for a convention in Los Angeles.
2,11,The Jet Set,14 Mar. 2009,8.4,"Don blows off the convention in Los Angeles when he meets a beautiful, exotic woman. Back at Sterling Cooper, a member of the creative staff comes out of the closet, and Duck falls off the wagon and initiates his power play."
2,12,The Mountain King,21 Mar. 2009,8.5,"Don drops off the Sterling Cooper radar and visits the wife of the man whose identity he stole. Back at the office, Bert and Roger consider the merger offer, Peggy makes a play for a real office, and Peter loses his father-in-law's account."
2,13,Meditations in an Emergency,28 Mar. 2009,9.0,"Under the backdrop of the Cuban Missile Crisis, Don returns to New York just as Betty finds out that she is pregnant. Meanwhile, everybody at Sterling Cooper contemplates their futures as news of the merger slowly leaks out."
3,1,Out of Town,9 Jan. 2010,8.3,"Don accidentally learns a secret about Salvatore during a business trip to Baltimore. Back at the office, the firings continue, but the new management appoints Peter and Ken as new co-heads of accounts."
3,2,Love Among the Ruins,16 Jan. 2010,7.9,"Don is brought in to save the day for a P.R. campaign involving the building of the new Madison Square Garden, only to have the rug pulled out from under him. At home, Betty argues with her brother over how to care for their sick father."
3,3,My Old Kentucky Home,23 Jan. 2010,8.1,"Roger Sterling throws an expensive party with his new wife, Joan throws a dinner party, Peggy and Paul get stoned while working on an ad campaign, and Don's daughter Sally steals money from her grandpa."
3,4,The Arrangements,30 Jan. 2010,8.1,"Don has reservations about a misguided potential client who wants to sell jai alai as the ""new national pastime."" Meanwhile, Sal produces the ""Patio"" television commercial, Peggy searches for a roommate, and Betty's father passes away."
3,5,The Fog,6 Feb. 2010,8.0,"Betty has hallucinations of her deceased father as she delivers her baby, Peter considers trying to sell the untapped ""Negro market"" to a reluctant client, and Peggy begins to question her future at Sterling Cooper."
3,6,Guy Walks Into an Advertising Agency,13 Feb. 2010,9.1,"The bosses come in from London to reorganize Sterling Cooper, but a key player's career is sidetracked by a freak accident. Meanwhile, as Joan prepares to leave her job, her husband gives her some bad news."
3,7,Seven Twenty Three,20 Feb. 2010,8.5,"As Don secures an account with Conrad Hilton, Sterling and Cooper try to strong-arm Don into signing a contract. Meanwhile, Betty meets with her acquaintance from the governor's office, and Duck tries to get Peggy to leave Sterling Cooper."
3,8,Souvenir,27 Feb. 2010,8.0,"Don and Betty renew their love affair while on a business trip to Rome, while Peter has a bout of infidelity with an au pair in his building while his wife is away."
3,9,Wee Small Hours,6 Mar. 2010,8.2,"Betty tries to meet with Henry Francis again, while Don steps up his pursuit of his daughter's former teacher. At the office, Don disappoints Conrad Hilton and is forced by a client to fire Salvatore over an unwelcome advance."
3,10,The Color Blue,13 Mar. 2010,8.3,"As Sterling Cooper prepares for its 40th anniversary party, the bosses in London drop a bombshell to Lane. Miss Farrell's troubled brother pays a visit to her and Don, and Betty stumbles onto her husband's secrets."
3,11,The Gypsy and the Hobo,20 Mar. 2010,9.2,"An old flame and potential client reenters Roger Sterling's life, Joan's husband searches for a new job, and Don finally comes clean to Betty about his true identity."
3,12,The Grown-Ups,27 Mar. 2010,8.9,"On the weekend of the John F. Kennedy assassination, Pete finds out that he lost the promotion to Cosgrove, Roger Sterling's daughter's wedding goes off as planned, and Betty musters up the courage to respond to Don's confessions."
3,13,Shut the Door. Have a Seat,3 Apr. 2010,9.7,"With another sale on the horizon, Sterling, Cooper, and Draper convince Lane Pryce to fire them and then join them as they start up a new advertising firm. At home, Betty follows through with her plans to divorce Don."
4,1,Public Relations,18 Dec. 2010,8.6,"The new firm is struggling for business, so Peter and Peggy resort to a cheap publicity stunt to lure a client. Meanwhile, Don's personal problems and an unflattering newspaper interview puts his and the firm's image in jeopardy."
4,2,Christmas Comes But Once a Year,25 Dec. 2010,8.2,"Freddy returns with a valuable new client, the firm reluctantly throws a Christmas party for its most important client, and Don prepares for his first Christmas away from his children."
4,3,The Good News,1 Jan. 2011,8.7,"Don flies to Los Angeles to visit Anna before his New Year's vacation to Acapulco, but her bad news influences him to cancel his vacation and return to New York, where he discovers that Lane has problems of his own."
4,4,The Rejected,8 Jan. 2011,8.3,"Peter finds out that he will become a father, and has to break some bad business news to his father-in-law. Meanwhile an office focus group study for a client has some unintended personal consequences for Don."
4,5,The Chrysanthemum and the Sword,15 Jan. 2011,8.7,"Don is forced to compete with a cocky upstart rival for a potential account with Honda motorcycles, but Roger's prejudice causes unexpected problems. Meanwhile Betty considers a psychiatrist for Sally because of her behavior."
4,6,Waldorf Stories,22 Jan. 2011,8.6,"Don has a wild lost weekend after winning a CLIO award, while Peggy is forced to work all weekend in a hotel room with an ""uninspired"" co-worker. Meanwhile, Peter is livid after he learns that the other partners hired Ken Cosgrove."
4,7,The Suitcase,29 Jan. 2011,9.7,"Don deliberately delays returning an important call from California, because he knows it's bad news about Anna. Instead, he keeps himself occupied by forcing Peggy to miss her birthday dinner to pull an all-nighter with him for a client."
4,8,The Summer Man,5 Feb. 2011,8.7,"While Don's thoughts turn inward while he deals with Anna's death, Peggy is placed in a difficult situation when an obnoxious new hire in the creative department is disrespectful to Joan."
4,9,The Beautiful Girls,12 Feb. 2011,8.8,"Sally makes an unwelcome surprise visit to the office to see Don, Peggy tries to stop an acquaintance from publishing an article that could get her in hot water, and Roger Sterling tries to reconnect with Joan."
4,10,Hands and Knees,19 Feb. 2011,8.7,"Don becomes frightened that his lie will be exposed when government agents question Betty about him, Lane has shocking news for his father when he comes to bring him home, and Joan considers having an abortion."
4,11,Chinese Wall,26 Feb. 2011,8.4,"The partners try to keep their cool after they discover that Roger has lost their biggest account, Peter's wife goes into labor, and Don tries to convince Faye to compromise her ethics to drum up new business."
4,12,Blowing Smoke,12 Mar. 2011,8.9,"Don makes a bold, desperate move to save Sterling Cooper Draper Pryce, but the other partners are furious with his actions. Meanwhile, Sally's psychiatrist suggests that she is improving, but Betty is skeptical."
4,13,Tomorrowland,19 Mar. 2011,9.0,"Don takes the kids to California and comes back with a surprise announcement. Meanwhile, Betty fires the kids' nanny before they move out of the old house over one questionable incident, and Peggy gets a shot at a new account."
5,1,"A Little Kiss, Part 1",20 May 2012,8.6,"Megan throws Don a surprise birthday party, the war between Pete Campbell and Roger Sterling intensifies, and new mother Joan begins to wonder if she still has a job when she's ready to come back."
5,2,"A Little Kiss, Part 2",20 Apr. 2012,8.5,"Megan is hurt by Don's negative response to the surprise party, Lane finds a missing wallet in a cab, Joan makes an unexpected visit to the office, and Pete makes a play for a bigger office."
5,3,Tea Leaves,27 May 2012,7.9,"Betty discovers that she has a tumor, Peggy interviews an obnoxious young copywriter for a job, the firm tries to get the Mohawk Airlines account back, and Don and Harry try to court The Rolling Stones to record a commercial."
5,4,Mystery Date,3 Jun. 2012,8.6,"Don runs into someone from his past. Joan makes a decision, and Roger gives Peggy extra work."
5,5,Signal 30,10 Jun. 2012,9.1,"While Lane needs some help closing with a potential new client, Peter begins to crack under the pressure of both his home life and work life."
5,6,Far Away Places,17 Jun. 2012,9.2,"A peaceful hotel getaway ends in disaster for Don and Megan, an LSD trip could have a disastrous effect on Roger's marriage, and Peggy loses her cool after an unsuccessful pitch meeting."
5,7,At the Codfish Ball,24 Jun. 2012,8.7,"Don gets a visit from the in-laws and his children just as he's about to receive a prestigious award and tries to save the Heinz account. Meanwhile, Peggy and her boyfriend take the next step in their relationship."
5,8,Lady Lazarus,6 May 2012,8.3,"Megan convinces Don that she should give up her job at the firm so that she can pursue a career on Broadway, while Peter has a fling with an acquaintance's wife."
5,9,Dark Shadows,8 Jul. 2012,8.1,"A depressed Betty tries to make things uncomfortable for Don and Megan, Roger tries to take out some secret weapons for a meeting with a prospective Jewish client, and Don makes a snap judgment that angers the creative department."
5,10,Christmas Waltz,20 May 2012,8.2,"Lane searches for a way to get rid of a sizable debt, the firm prepares to pull out all the stops when it gets a second chance to land Jaguar as a client, and Don tries to comfort Joan when she reaches her breaking point."
5,11,The Other Woman,22 Jul. 2012,9.4,"Peter asks Joan to make an unspeakable sacrifice to help secure the Jaguar account, Peggy prepares to make a drastic move in response to Don's treatment, and Megan's acting career begins to create tension with her and Don."
5,12,Commissions and Fees,29 Jul. 2012,9.4,"Lane's entire world comes crashing down after getting busted for forging Don's signature on a check, and Sally experiences an awkward rite of passage while spending the weekend with the Drapers."
5,13,The Phantom,5 Aug. 2012,8.6,"As the partners consider expanding the office space, Don begins seeing ghosts and gets a request to advance Megan's acting career. Meanwhile, Peter's affair comes to a disappointing end, and Megan's mom briefly reunites with Roger."
6,1,"The Doorway, Part 1",7 Apr. 2013,7.6,"Don and Megan take a trip to Hawaii for the holidays, Sally's friend visits the Francis family, a comedian torpedoes Peggy's Super Bowl ad campaign, and Roger gets some bad news about his mother."
6,2,"The Doorway, Part 2",8 Apr. 2013,7.8,"Don strikes up a friendship with the surgeon in his building, Peggy tries to save her campaign, Roger makes a scene at his mother's funeral, and Betty goes to Manhattan to find Sally's friend."
6,3,Collaborators,15 Apr. 2013,7.9,"While Don continues his affair with Sylvia, Pete's latest infidelity threatens his marriage. Meanwhile, Peggy's icy relationship with her new staff continues, but she also gets an unlikely tip on a potential new client."
6,4,To Have and to Hold,22 Apr. 2013,8.1,"Don works in secret on a Heinz ketchup campaign while Megan gets a love scene on the set of her soap opera. Meanwhile, Harry makes his power play while Joan has more trouble with the secretaries."
6,5,The Flood,29 Apr. 2013,8.3,"Set among the events surrounding Martin Luther King's assassination, Peggy tries to get a new apartment, Ginsberg is set up on a date, and Don has a revelation during his weekend with the kids."
6,6,For Immediate Release,6 May 2013,8.9,"As the firm prepares to go public, Don and Pete's actions cause them to lose two huge clients. However, Roger uses a new connection to put them in position to gain their biggest client ever."
6,7,Man with a Plan,12 May 2013,8.0,"Things quickly become awkward after the two firms merge, Don asserts his dominance over Sylvia, Pete has to deal with his ailing mother, and Bob Benson helps out a sick Joan."
6,8,The Crash,20 May 2013,8.7,"The creative department has a wild, drug-influenced weekend as they work on the Chevy account, Don has trouble letting go of Sylvia, and Sally walks in on an unwelcome intruder."
6,9,The Better Half,26 May 2013,8.4,"Peggy becomes unsatisfied with her apartment and with Abe, Don has an eventful weekend with Betty while Megan has problems on the set, Roger has time with his grandson, and Pete begins exploring his options outside the firm."
6,10,A Tale of Two Cities,3 Jun. 2013,8.1,Cutler and Chaough prepare to make radical changes to the firm while Sterling and Draper are visiting a client in Los Angeles. Joan's decision to go after a new account on her own leaves Pete furious and frustrated.
6,11,Favors,10 Jun. 2013,8.7,"Don is preoccupied with keeping Sylvia's son from being drafted, Peggy has a rat in her apartment, Don and Ted bury the hatchet, Pete has a problem with his mother's new nurse, and Sally makes an accidental discovery about her father."
6,12,The Quality of Mercy,17 Jun. 2013,8.5,"Don renews his battle with Ted after seeing his relationship with Peggy, Sally interviews at a boarding school, and Pete discovers Bob Benson's background."
6,13,In Care Of,24 Jun. 2013,9.2,"With his personal and professional life crumbling around him, Don positions himself for a change of scenery. Meanwhile, Pete's life is falling apart as well, thanks to the meddling of Bob Benson."
7,1,Time Zones,14 Apr. 2014,8.0,"Don is on the outside looking in on the forced indefinite paid leave from his job. While Ted heads back to New York for a few days, Don takes the opportunity to head to Los Angeles in part to meet with a California transformed Pete while he reunites with Megan, who is living full time there while pursuing what looks to be a promising acting career. Back in New York, Peggy avoids Ted at all cost while she learns to deal with the new ""Don"", Lou Avery, most specifically on the Accutron account for which she is getting consulting help from Freddie Rumsen. On top of that, ..."
7,2,A Day's Work,21 Apr. 2014,8.4,"Sally discovers that Don is not working, Pete lands a big account but is undercut by management, and Joan is forced to move some secretaries around after Lou and Peggy have some problems."
7,3,Field Trip,28 Apr. 2014,8.6,"After a fight with Megan during a surprise trip to California, Don decides it's time to get back to work. Meanwhile, Betty joins Bobby on a field trip to a farm."
7,4,The Monolith,5 May 2014,8.5,"Don returns to work, but quickly falls off the wagon after learning that he's been assigned to Peggy. Meanwhile, Roger and his ex-wife go to a commune to rescue their daughter, who has abandoned her child."
7,5,The Runaways,12 May 2014,8.6,"While Lou becomes the object of ridicule for the copy writers, Don tries to get away to California after a call from his pregnant niece. Meanwhile, the new office computer drives Ginsberg to the brink of insanity."
7,6,The Strategy,19 May 2014,9.0,"Peggy has second thoughts about her Burger Chef campaign when Don is asked to pitch her commercial, Pete visits his wife and daughter on his trip back to New York, and Bob Benson gets some surprising news from G.M. about the account."
7,7,Waterloo,25 May 2014,9.5,"Don and Peggy prepare to pitch to Burger Chef, one day after the Apollo Moon Landing. Meanwhile, a power struggle in the firm between Sterling and Cutler leaves Don's future hanging in the balance."
7,8,Severance,6 Apr. 2015,8.2,"Don is oddly drawn to a diner waitress as he learns about the loss of an old acquaintance, Peggy and Joan are disrespected by a chauvinistic client, and Cosgrove is in for big changes after his biggest business connection retires."
7,9,New Business,13 Apr. 2015,7.9,"While Megan comes to New York with her mother and sister to collect her belongings, Don has a romance with the waitress. Meanwhile, Peggy and Stan work with a famous photographer on a commercial shoot."
7,10,The Forecast,20 Apr. 2015,8.4,"Don decides to sell his apartment, Joan stumbles into a relationship while on a trip to Los Angeles, Glen tells Betty and Sally that he is going to Vietnam, and a copywriter gets in trouble for his rude behavior to a client."
7,11,Time & Life,27 Apr. 2015,9.0,"The partners discover that the firm is losing its independence and there's nothing they can do about it. Peggy is not sure if she wants to come along. Meanwhile, Pete and Trudy have trouble getting their daughter into private school."
7,12,Lost Horizon,4 May 2015,9.0,Don goes AWOL from McCann Erickson in the middle of a meeting. Joan quickly gets fed up with the sexism at the new firm. Roger and Peggy put off reporting to their new jobs as long as possible.
7,13,The Milk and Honey Route,11 May 2015,9.2,Don is stuck in Oklahoma after his car breaks down. Betty discovers that she is not in good health. Pete gets an unexpected job offer that could enable him to get his life with Trudy and his daughter back.
7,14,Person to Person,17 May 2015,9.3,"Don's journey ends in California with Anna's niece, Stephanie, where he contemplates his future. Roger decides to marry Megan's mother, Marie. Joan has a business proposition for Peggy, who is coming to terms with her feelings for Stan."
